,US Large Cap Equity,US Mid Cap Equity,US Small Cap Equity,Emerging Market Equity,Long Duration Treasury,TIPS,Investment Grade Credit,REITs,Commodities,High Yield Credit,Hedge Funds,Private Equity,Private Real Estate
2012-09-30,0.06438645306419466,0.051184305279981857,0.05285670821862554,0.056222918180489634,-0.001467092080959076,0.02022717444748645,0.045651344097912494,0.0008666225270423933,0.11038103298466151,0.04529578454847005,0.03038901067954458,-0.068647753719,0.017221299305999915
2012-12-31,0.00454400596459692,0.03650188503359875,0.019299153814846592,0.07992342707250777,-0.018347373117339916,0.0035414237415409833,0.0028042426982224367,0.025093968237718034,-0.029881607820445466,0.032888515288431286,0.0179603279247178,0.07677378959500003,0.05311169961200002
2013-03-31,0.10038648554473295,0.13494811703195664,0.12304899221515941,-0.0356259822443632,-0.023972112518985567,-0.0011531408813634236,-0.0028218518871446774,0.08015780389384464,0.0033546998255638005,0.02893184130213644,0.033364797192910745,0.07677378959500003,0.05311169961200002
2013-06-30,0.018762988495890198,0.0076628487377741195,0.027216131901677487,-0.0880107401798983,-0.05585828959411854,-0.07105828252069324,-0.04345109517274692,-0.01634495566264227,-0.06382985384260575,-0.014355769991299616,-9.131673017626074e-05,0.03669714304500005,0.00710298367599993
2013-09-30,0.0640071819625807,0.0787257940478654,0.10682560720555623,0.05870172088810577,-0.029395645203423526,0.007990135712846014,0.008392237655514334,-0.028728239970076674,0.05129876201923822,0.022810255587208506,0.024630045132523204,0.068446694433,-0.000123332678000021
2013-12-31,0.09370153976676776,0.08184719818049291,0.08624145867198751,0.034784106727279385,-0.031565947693898755,-0.021587477864982496,0.01884724491344736,-0.008667558607178383,-0.005867894846777522,0.03575701704489731,0.03597448447297902,0.09247894371400012,0.07951191842400007
2014-03-31,0.01939828779762154,0.03066294446142348,0.011099512461391514,-0.01889971747995489,0.07642177270101258,0.020018802715579653,0.030193551236830096,0.10101358044833608,0.024231209297006284,0.02976934439268275,0.014282535536061847,-0.001852821288999995,0.019144503971000093
2014-06-30,0.050443317419968325,0.04365048309056463,0.021230637158302867,0.062471648780307865,0.048423988793518724,0.03730188944913193,0.028707458686913823,0.0696280582614679,0.028813979771576292,0.024053845305086696,0.022093932663465266,0.05536623110500005,0.053551316075999944
2014-09-30,-0.006846692853525016,-0.04122570178712193,-0.07355122596887209,-0.03863036598121472,0.0319252283338225,-0.0209378536671887,-0.0003172293145355942,-0.031027997305616783,-0.12765325029768593,-0.018622274898538294,0.007752372615775549,0.008401067546000007,0.04670424821300001
2014-12-31,0.038899352169740053,0.06379766127881159,0.09799505334780623,-0.04102208565027332,0.09311829526381099,-5.7238139825610546e-06,0.021397190008275002,0.14271427741444942,-0.2706995670015667,-0.009972735091218543,0.00990935723611508,-0.010102126879000028,0.07037769348
2015-03-31,0.016553037473650445,0.052894890003886585,0.04288315107898799,0.021379698868643215,0.04200661032309161,0.014105738892284947,0.024775775855226723,0.047084976607497886,-0.09638553897403557,0.025192222386514862,0.03429572135903425,0.044205531882999916,0.015324792347999994
2015-06-30,-0.00046586023682781974,-0.010138048062537708,0.003939496545191767,-0.005362148540577927,-0.09555607309185532,-0.013557173369265318,-0.04134125118506837,-0.10514516654550976,0.08256413386418271,7.211495123238265e-05,0.004967818988556694,0.056801305598999985,0.04740365840499994
2015-09-30,-0.08066094678622604,-0.08567137619128906,-0.11918982913533227,-0.1726399519552657,0.05867273897712333,-0.00940264657872103,0.011874188768784766,0.021490799100006397,-0.1909048114697517,-0.04831353319752674,-0.02609338029727759,-0.05669423129700002,0.022022786366999947
2015-12-31,0.05261033975033347,0.024834738345122398,0.035794622944313126,-0.0026956188116747937,-0.01566340627252394,-0.008569551138265519,-0.0066704301265886334,0.07020932189793316,-0.1668618497775336,-0.020571688355969786,0.013077393698378792,0.002746894776999964,0.04791962200699995
